X,Y
1,3.000000
0,3.000000
0,1.000000
1,3.000000
0,3.000000
1,3.000000
0,1.000000
1,3.000000
1,3.000000
0,1.000000
1,3.000000
0,3.000000
0,3.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
1,3.000000
1,3.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
1,3.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
1,3.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
0,3.000000
0,1.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
0,3.000000
1,3.000000
0,1.000000
1,1.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
0,3.000000
0,3.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
1,3.000000
1,3.000000
0,1.000000
1,3.000000
1,3.000000
1,3.000000
1,3.000000
1,3.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
1,1.000000
1,3.000000
1,3.000000
0,1.000000
1,3.000000
1,3.000000
0,1.000000
0,1.000000
1,3.000000
1,3.000000
0,1.000000
0,1.000000
1,3.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
0,3.000000
0,3.000000
0,3.000000
1,3.000000
0,1.000000
1,3.000000
1,1.000000
1,3.000000
1,3.000000
1,3.000000
0,1.000000
1,3.000000
1,1.000000
1,3.000000
0,1.000000
0,1.000000
1,3.000000
0,3.000000
0,1.000000
0,1.000000
1,3.000000
1,3.000000
1,3.000000
1,3.000000
1,3.000000
1,1.000000
0,3.000000
1,3.000000
0,3.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
1,1.000000
0,1.000000
1,1.000000
1,3.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
0,1.000000
0,1.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
0,3.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
1,3.000000
1,3.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
0,1.000000
0,1.000000
0,3.000000
1,3.000000
0,1.000000
0,3.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
1,3.000000
1,1.000000
1,3.000000
0,3.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
1,3.000000
1,3.000000
0,3.000000
0,1.000000
1,3.000000
0,1.000000
1,1.000000
1,3.000000
0,1.000000
0,3.000000
0,1.000000
0,1.000000
0,1.000000
0,3.000000
0,1.000000
1,1.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
1,3.000000
1,3.000000
0,1.000000
1,1.000000
0,1.000000
0,1.000000
0,3.000000
1,3.000000
1,3.000000
0,3.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
1,1.000000
0,1.000000
1,1.000000
0,1.000000
1,3.000000
0,3.000000
1,3.000000
1,3.000000
1,3.000000
1,1.000000
0,1.000000
0,3.000000
0,1.000000
0,1.000000
1,1.000000
1,3.000000
1,3.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
1,3.000000
0,3.000000
0,1.000000
0,3.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
0,1.000000
0,3.000000
1,1.000000
0,1.000000
1,3.000000
0,1.000000
0,3.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
0,3.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
0,3.000000
1,1.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
1,3.000000
1,1.000000
0,3.000000
0,1.000000
0,1.000000
0,1.000000
0,3.000000
1,3.000000
0,3.000000
1,3.000000
1,1.000000
1,1.000000
0,3.000000
1,3.000000
1,3.000000
1,1.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
0,1.000000
0,1.000000
0,1.000000
1,1.000000
0,1.000000
1,1.000000
0,1.000000
1,1.000000
1,3.000000
1,3.000000
1,3.000000
0,1.000000
0,1.000000
1,1.000000
0,1.000000
1,3.000000
0,3.000000
1,3.000000
0,3.000000
0,1.000000
0,1.000000
0,1.000000
1,3.000000
1,3.000000
1,1.000000
0,1.000000
1,3.000000
1,3.000000
1,3.000000
0,1.000000
1,3.000000
1,3.000000
1,3.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
0,3.000000
0,1.000000
0,3.000000
0,1.000000
1,3.000000
1,3.000000
0,1.000000
1,1.000000
0,1.000000
0,3.000000
1,3.000000
1,3.000000
0,1.000000
0,3.000000
1,3.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
1,1.000000
1,1.000000
1,3.000000
1,3.000000
0,1.000000
1,1.000000
0,3.000000
0,1.000000
0,1.000000
1,3.000000
1,3.000000
1,3.000000
0,3.000000
1,3.000000
0,1.000000
0,1.000000
1,1.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
1,1.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
0,3.000000
1,3.000000
1,3.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
0,1.000000
1,3.000000
0,1.000000
1,3.000000
0,1.000000
0,1.000000
0,1.000000
